Sign_class,x1,y1,x2,y2,ID
51,0.979197,0.489112,0.0285076,0.124838,1.0
33,0.743987,0.577531,0.0540577,0.0643817,
33,0.743988,0.577534,0.0540583,0.0643832,2.0
33,0.847935,0.481295,0.0844357,0.0841318,3.0
33,0.905813,0.407123,0.0891871,0.0979419,4.0
39,0.809783,0.596019,0.0279587,0.0787144,5.0
39,0.830164,0.576343,0.0360929,0.0881719,6.0
38,0.750586,0.564878,0.0208001,0.0625085,7.0
33,0.706772,0.631902,0.0347981,0.0484139,11.0
38,0.832309,0.463008,0.0310231,0.112096,12.0
33,0.642498,0.374251,0.0489475,0.107701,13.0
38,0.67608,0.651314,0.0150818,0.0456738,14.0
33,0.494497,0.422423,0.0507918,0.0716609,15.0
33,0.70354,0.649827,0.0383501,0.0478841,16.0
33,0.744008,0.591771,0.0563411,0.0783225,17.0
38,0.430958,0.59675,0.0152595,0.0576135,19.0
38,0.409987,0.577194,0.0165341,0.0606883,22.0
38,0.361758,0.547316,0.0176366,0.0708116,23.0
38,0.47421,0.561775,0.0422956,0.107997,24.0
49,0.308127,0.485711,0.0229176,0.119654,25.0
32,0.515906,0.596238,0.0175599,0.115056,26.0
32,0.497323,0.578968,0.0222008,0.136734,27.0
