Sign_class x1 y1 x2 y2 ID
51 0.979197 0.489112 0.0285076 0.124838 1
51 0.979215 0.489161 0.0284897 0.125053 1
33 0.743987 0.577531 0.0540577 0.0643817
33 0.743988 0.577534 0.0540583 0.0643832 2
33 0.744964 0.575174 0.0526758 0.0646411 2
33 0.839342 0.490034 0.085038 0.0792844
33 0.847935 0.481295 0.0844357 0.0841318 3
33 0.849417 0.479549 0.0843863 0.0851403 3
33 0.85008 0.479048 0.0842322 0.0852803 3
33 0.905825 0.407127 0.0891642 0.0979765
33 0.905813 0.407123 0.0891871 0.0979419 4
33 0.919306 0.39325 0.0896547 0.102658 4
33 0.928664 0.381177 0.0883361 0.104801 4
33 0.93119 0.377734 0.0879778 0.105356 4
33 0.937419 0.367896 0.0877633 0.109979 4
39 0.804651 0.599081 0.0294493 0.0788224
39 0.809783 0.596019 0.0279587 0.0787144 5
39 0.810664 0.595537 0.0276753 0.0787703 5
39 0.830158 0.576364 0.0360874 0.0881034
39 0.830164 0.576343 0.0360929 0.0881719 6
39 0.839525 0.570509 0.0374749 0.0941865 6
39 0.842669 0.568818 0.0379583 0.0962051 6
39 0.843403 0.568458 0.0380287 0.0967001 6
38 0.748811 0.56714 0.0208449 0.0611268
38 0.750586 0.564878 0.0208001 0.0625085 7
38 0.752544 0.562597 0.0222898 0.065953 7
38 0.753088 0.561923 0.0227557 0.0670819 7
38 0.754619 0.558058 0.0236892 0.0675397 7
38 0.769394 0.535819 0.0254307 0.0757199
33 0.699956 0.631716 0.0319634 0.0495248
38 0.798478 0.502383 0.0284145 0.0935845
33 0.706775 0.631892 0.0347921 0.0484203
33 0.706772 0.631902 0.0347981 0.0484139 11
33 0.709155 0.631558 0.0356274 0.0495478 11
33 0.710493 0.631871 0.0360646 0.0501139 11
38 0.832309 0.463008 0.0310231 0.112096 12
33 0.710867 0.631968 0.0361834 0.0502492 11
38 0.833197 0.461477 0.0310752 0.113907 12
33 0.711459 0.633107 0.036107 0.0516159 11
38 0.838472 0.457866 0.031235 0.119037 12
33 0.71284 0.633856 0.0370866 0.0522339 11
38 0.844384 0.451905 0.0315804 0.118591 12
33 0.713292 0.634078 0.0374291 0.0524321 11
38 0.846209 0.449885 0.0316883 0.118264 12
33 0.715522 0.635092 0.0382964 0.0531815 11
38 0.856692 0.438956 0.0319031 0.125033 12
33 0.716748 0.63557 0.0390758 0.0542767 11
38 0.865155 0.431513 0.0329663 0.127381 12
33 0.717146 0.635634 0.0393524 0.0546587 11
38 0.867983 0.428827 0.0333419 0.128065 12
33 0.719306 0.635588 0.0400169 0.053477 11
38 0.880302 0.414699 0.0331062 0.133115 12
38 0.896076 0.396128 0.0331938 0.137238 12
38 0.90162 0.38897 0.0332208 0.138717 12
38 0.90961 0.376551 0.0343 0.148949 12
33 0.730294 0.628461 0.044674 0.059705 11
33 0.732766 0.62539 0.0466943 0.0611076 11
33 0.733653 0.624514 0.047423 0.0616202 11
33 0.736583 0.621388 0.048868 0.0620699 11
33 0.73965 0.619422 0.0484561 0.0622079 11
33 0.740782 0.618899 0.0482229 0.0622015 11
33 0.743648 0.614769 0.0498927 0.0651364 11
33 0.747884 0.610248 0.0522814 0.0668667 11
33 0.749444 0.60882 0.0531807 0.0675509 11
33 0.751291 0.604197 0.0540708 0.069525 11
33 0.753678 0.599451 0.0547014 0.0720428 11
33 0.754529 0.597795 0.0549244 0.0730134 11
33 0.762542 0.587789 0.0565559 0.078799 11
33 0.765544 0.584527 0.0571267 0.0810189 11
33 0.769754 0.584075 0.0590349 0.0807293 11
33 0.773084 0.583103 0.0594567 0.0811337 11
33 0.779609 0.579023 0.0604598 0.0868021 11
33 0.790559 0.572529 0.0648379 0.0944091 11
33 0.80964 0.556523 0.0679076 0.101055 11
33 0.831264 0.53902 0.0734131 0.109756 11
33 0.839623 0.532466 0.0755267 0.113255 11
33 0.847088 0.526039 0.0782452 0.117131 11
33 0.854038 0.518991 0.0780131 0.122058 11
33 0.856501 0.516494 0.0777922 0.123887 11
33 0.862453 0.510948 0.0773825 0.127616 11
33 0.881917 0.493239 0.0789033 0.139595 11
33 0.889156 0.486358 0.079449 0.144244 11
33 0.904998 0.468177 0.0791368 0.154233 11
33 0.917709 0.453059 0.0788858 0.166349 11
33 0.922238 0.44726 0.07876 0.171059 11
33 0.923627 0.445256 0.0786459 0.172716 11
33 0.946712 0.413063 0.0823215 0.192451 11
33 0.955183 0.400523 0.0837046 0.200001 11
33 0.642498 0.374251 0.0489475 0.107701 13
