Sign_class x1 y1 x2 y2 ID
42 0.697042 0.63325 0.033017 0.0396347 1
42 0.697041 0.633418 0.0329907 0.0397578 1
42 0.698233 0.63182 0.0352491 0.0439919 1
42 0.702873 0.627522 0.0430147 0.0434543 1
42 0.701883 0.622058 0.0393244 0.0418086 1
42 0.701082 0.621228 0.0372574 0.0412529 1
42 0.702347 0.620547 0.0387013 0.0425869 1
42 0.702958 0.618636 0.0378759 0.0444002 1
42 0.702726 0.619842 0.0376231 0.045009 1
42 0.702433 0.618571 0.0359707 0.0461844 1
42 0.702214 0.618903 0.0353091 0.0466041 1
42 0.702183 0.616042 0.0345148 0.0480494 1
42 0.703329 0.611906 0.0351728 0.0505839 1
42 0.704194 0.607948 0.0355068 0.0512593 1
42 0.707529 0.607687 0.0377264 0.0492141 1
42 0.709247 0.607545 0.0386498 0.0450101 1
42 0.710053 0.607546 0.0390753 0.0443896 1
42 0.710224 0.607523 0.0392316 0.043968 1
42 0.710656 0.607638 0.0389245 0.0432798 1
42 0.710736 0.608043 0.0387969 0.0429986 1
42 0.711853 0.604609 0.0389192 0.0446305 1
42 0.712415 0.603974 0.0389153 0.0470604 1
42 0.712535 0.604096 0.0389208 0.0480445 1
42 0.713183 0.602452 0.0387887 0.0481494 1
42 0.714265 0.600214 0.0392777 0.0473603 1
42 0.714537 0.600476 0.0395329 0.0470044 1
42 0.715352 0.600484 0.0394244 0.0496395 1
42 0.721259 0.603615 0.0416091 0.055767 1
42 0.724189 0.605142 0.0437477 0.0596076 1
42 0.725194 0.605502 0.0445627 0.0611286 1
42 0.725705 0.605191 0.0447854 0.0616873 1
42 0.727313 0.602948 0.0452118 0.0618174 1
42 0.727054 0.603156 0.0454444 0.0619774 1
42 0.730444 0.599566 0.0462635 0.061961 1
42 0.731429 0.60068 0.0467061 0.0618881 1
42 0.73252 0.600688 0.0476599 0.0631923 1
42 0.732885 0.600989 0.0479888 0.063697 1
42 0.748536 0.56763 0.0506332 0.0691006 1
42 0.747563 0.56812 0.0516655 0.0708582 1
42 0.748985 0.565026 0.0529774 0.0715036 1
42 0.750731 0.563561 0.0539676 0.074212 1
42 0.751363 0.563043 0.054442 0.0752987 1
42 0.75311 0.56041 0.0546289 0.0785937 1
42 0.75709 0.55716 0.0557607 0.0832945 1
42 0.758464 0.555965 0.05616 0.0851774 1
42 0.760949 0.553792 0.0557977 0.0823926 1
42 0.763 0.55212 0.0557385 0.0813852 1
42 0.763728 0.551418 0.0556957 0.0808893 1
42 0.766303 0.54851 0.0568251 0.0803305 1
42 0.768465 0.545695 0.0581406 0.0777026 1
42 0.769305 0.544627 0.058717 0.0767334 1
42 0.772565 0.543174 0.0596498 0.0761471 1
42 0.776752 0.539619 0.06042 0.0777069 1
42 0.778256 0.538538 0.060685 0.0782981 1
42 0.78038 0.536145 0.0620855 0.0801368 1
42 0.780937 0.535672 0.0626825 0.0807563 1
42 0.780966 0.535301 0.0628629 0.0810702 1
42 0.785556 0.528219 0.0645727 0.0861057 1
42 0.787237 0.52588 0.0652708 0.0879793 1
42 0.790843 0.521611 0.0640073 0.087075 1
42 0.79154 0.519631 0.063457 0.0871875 1
42 0.793423 0.518319 0.0648779 0.0875698 1
42 0.793498 0.517244 0.06534 0.0878998 1
42 0.804811 0.508679 0.0690889 0.0944054 1
42 0.808604 0.505052 0.0704074 0.0970049 1
42 0.814422 0.498905 0.0717305 0.0969063 1
42 0.816396 0.496304 0.0723097 0.0975685 1
42 0.817077 0.4954 0.0723905 0.0978133 1
42 0.821731 0.487912 0.0741305 0.103281 1
42 0.823521 0.485179 0.0747597 0.105295 1
42 0.829509 0.480676 0.0760771 0.109289 1
42 0.834616 0.476384 0.0763175 0.113036 1
42 0.843079 0.468543 0.076079 0.111012 1
42 0.845956 0.465378 0.0759143 0.110262 1
42 0.847065 0.464513 0.0757574 0.110017 1
42 0.849381 0.457745 0.0784846 0.113224 1
42 0.850199 0.455307 0.0794872 0.114388 1
42 0.860876 0.44183 0.0818126 0.120758 1
42 0.864688 0.436654 0.0826479 0.123159 1
42 0.870129 0.43373 0.0817513 0.116889 1
42 0.872107 0.433671 0.081123 0.112408 1
42 0.885175 0.413262 0.0843028 0.133521 1
42 0.892881 0.400386 0.0865147 0.142325 1
42 0.902224 0.399033 0.08443 0.130492 1
42 0.905676 0.399086 0.0835141 0.124946 1
42 0.914848 0.375805 0.0860114 0.144599 1
42 0.92453 0.361994 0.0843205 0.14875 1
42 0.928062 0.356709 0.0837588 0.150548 1
42 0.932052 0.348797 0.0852131 0.155725 1
42 0.939624 0.34377 0.0860578 0.150273 1
42 0.942344 0.342079 0.0863991 0.148543 1
42 0.956973 0.320785 0.0789223 0.152467 1
42 0.967233 0.282261 0.065534 0.180776 1
42 0.970081 0.267768 0.0598379 0.191343 1
42 0.970986 0.262304 0.0580289 0.195347 1
42 0.986684 0.523713 0.0255127 0.0540634
49 0.726188 0.644594 0.0161921 0.0504248
49 0.73327 0.639359 0.0170072 0.0460369
49 0.752168 0.630549 0.021153 0.0576949
49 0.753673 0.630834 0.0205877 0.0589038 5
49 0.757547 0.631033 0.0239285 0.060126 5
49 0.758692 0.631151 0.0248545 0.0605296 5
49 0.760088 0.63137 0.0256924 0.0650415 5
49 0.765706 0.629803 0.024785 0.0706944 5
49 0.767671 0.629141 0.0244385 0.0727762 5
48 0.719507 0.608579 0.0160687 0.0538785 7
49 0.76826 0.628684 0.024332 0.073188 5
48 0.719503 0.608552 0.0160893 0.0539136 7
49 0.770471 0.626862 0.0241124 0.0708961 5
48 0.720086 0.606999 0.01624 0.0528139 7
49 0.775535 0.617012 0.026456 0.0758443 5
49 0.781555 0.612741 0.0263805 0.0699693 5
48 0.724867 0.601955 0.0151034 0.0496814 7
49 0.783556 0.611621 0.0263351 0.0678216 5
48 0.725583 0.601321 0.0148768 0.0491438 7
49 0.789623 0.606444 0.0278249 0.0688415 5
49 0.791815 0.604714 0.028334 0.0691435 5
49 0.792543 0.604132 0.0285249 0.0693048 5
49 0.797999 0.601819 0.0301228 0.0725518 5
48 0.731535 0.593011 0.019086 0.0632454 7
49 0.803458 0.599871 0.0288152 0.0731762 5
49 0.80835 0.596361 0.029179 0.0751805 5
48 0.735034 0.588904 0.0187645 0.0652079 7
49 0.809889 0.595313 0.0291932 0.0757549 5
48 0.735442 0.588315 0.0185372 0.0651124 7
49 0.816578 0.590368 0.0314999 0.0781127 5
48 0.737395 0.585711 0.0187167 0.0672627 7
49 0.826287 0.581012 0.0332442 0.0797507 5
48 0.740328 0.578761 0.0191737 0.0659426 7
49 0.830001 0.577619 0.0338575 0.0795183 5
48 0.74136 0.576438 0.0193373 0.0654157 7
49 0.838688 0.572341 0.0355345 0.086602 5
48 0.743696 0.573534 0.0200358 0.0720668 7
49 0.841941 0.570474 0.0360694 0.0886752 5
48 0.744469 0.572588 0.0202946 0.0742104 7
49 0.843047 0.569716 0.0362499 0.0891026 5
48 0.744671 0.572147 0.0204335 0.0747629 7
49 0.852485 0.558185 0.036404 0.0938788 5
48 0.747452 0.565049 0.0212519 0.0719901 7
49 0.860516 0.549516 0.0370445 0.101169 5
49 0.86885 0.541669 0.038575 0.101089 5
49 0.871798 0.538841 0.0390712 0.100924 5
